Year,Food & Live Animal,Beverages & Tobacco, Crude Mineral Inedible,Mineral Fuels,Animals & Vegetable Oils & Fats,Chemicals,Manufactured Goods,Machinery & Transport Equipment,Miscellaneous Manufactured Goods, Miscellaneous Transactions,Total
1987,1873.8,30.7,799.6,76.5,65.7,3016.5,4484.9,6827.7,678.5,7.8,17861.7
1988,1891.6,85.7,591.5,206.8,122.3,4127.2,4547.4,8900.6,957.3,15.3,21445.7
1989,2108.9,136.3,1080.7,258.8,69.9,7041.9,6541.4,12362.7,1250.3,9.3,30860.2
1990,3474.5,228.7,1417.2,274.2,228.7,9006.4,10240.8,18515.8,2194.5,137.1,45717.9
1991,3045.7,261.1,1566.4,261.1,261.1,11779.2,51951.1,17926.2,2262.3,174.0,89488.2
1992,12840.2,729.6,3939.6,875.5,1459.1,20439.7,35310.6,62158.3,4961.0,437.6,143151.2
1993,13952.4,498.3,1328.8,830.5,1328.8,24278.0,42023.4,74579.1,6644.0,166.1,165629.4
1994,13837.0,488.4,5046.5,1139.5,1302.3,46394.8,40046.0,46232.0,6348.8,1953.5,162788.8
1995,88349.9,3020.5,31715.4,9061.5,8306.4,199353.7,175944.8,206905.0,30960.2,1510.3,755127.7
1996,75392.0,2250.5,26443.5,8439.4,7314.1,132779.9,156410.2,129404.1,21379.8,2813.1,562626.6
1997,100728.3,5033.8,38084.6,10933.5,11779.2,192187.3,246963.6,202964.9,35127.8,1913.6,845716.6
1998,102165.1,3349.7,37683.9,11723.9,10886.4,192606.3,248713.4,195956.0,32659.4,1674.6,837418.7
1999,103489.8,4312.1,38808.7,12073.8,12073.8,196630.6,253550.0,204392.3,35359.0,1825.6,862515.7
2000,113630.5,6740.8,44296.6,12518.6,14444.6,228594.2,289261.3,234075.8,38518.8,2941.2,985022.4
2001,160209.1,9503.9,62454.33,17650.18,20365.63,294969.95,406734.06,327206.66,54308.15,4778.34,1358180.3
2002,144297.64,13670.78,75763.3,21112.72,21279.37,298318.06,473478.75,378826.45,82229.32,3718.94,1512695.33
2003,201648.295774185,18830.14990354584,105211.55767607842,28924.71347432072,34185.76331626248,422165.1743002748,650365.200111651,498815.8540664787,115481.15975621936,4607.401620983631,2080235.27
2004,178747.44145487706,21846.715458274644,101970.42067151958,26709.923121883687,39307.61758695935,451618.4116508073,584645.4186058666,458917.1042037608,117210.18144180646,6072.035804244269,1987045.27
2005,193259.09,28008.56,165250.52,56017.13,70021.41,677807.23,899074.88,613387.54,84025.69,14004.28,2800856.33
2006,217603.018113627,31536.69782271072,186066.49589647795,59919.71384803301,78841.73069317985,760034.3186336702,1018635.209355745,690653.5871206659,94610.08422573422,15768.344290156374,3153669.2
2007,247063.08249146756,39848.88427281736,239093.3056369041,71727.99169107123,87667.54540019817,964342.9903082682,1307043.3950544975,900584.7754717604,111576.87596388858,15939.553709126942,3984888.4
2008,314907.31675911514,52484.55574767367,288665.03888527834,78726.83362151054,131211.38050572074,1312113.822784134,1731990.2510385967,1154660.1644045764,157453.65837955757,26242.277873836836,5248455.3
2009,351507.6813449276,51220.62972620308,285577.9733207983,85820.7900133015,117299.62929467823,1207611.0190466247,1603304.5063703533,1119897.0437022846,177771.7448701089,22153.582310718397,5022164.599999999

Metadata: This file was processed on 2024-06-18 13:47:39.937047
